group_repo,url,language,star,author,project_type,finished
MaaAssistantArknights/MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,C++,21532,MaaAssistantArknights,通用软件项目,true
xbmc/xbmc,https://github.com/xbmc/xbmc,C++,20859,xbmc,小游戏,true
catchorg/Catch2,https://github.com/catchorg/Catch2,C++,20445,catchorg,开发库/框架,true
google/filament,https://github.com/google/filament,C++,20137,google,小游戏,true
trojan-gfw/trojan,https://github.com/trojan-gfw/trojan,C++,19724,trojan-gfw,通用软件项目,true
TranslucentTB/TranslucentTB,https://github.com/TranslucentTB/TranslucentTB,C++,19690,TranslucentTB,通用软件项目,true
lettier/3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,C++,19681,lettier,小游戏,true
qinguoyi/TinyWebServer,https://github.com/qinguoyi/TinyWebServer,C++,19562,qinguoyi,网站后端,true
Atmosphere-NX/Atmosphere,https://github.com/Atmosphere-NX/Atmosphere,C++,19134,Atmosphere-NX,通用软件项目,true
cocos2d/cocos2d-x,https://github.com/cocos2d/cocos2d-x,C++,19053,cocos2d,小游戏,true
kyleneideck/BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,C++,19034,kyleneideck,通用软件项目,true
RPCS3/rpcs3,https://github.com/RPCS3/rpcs3,C++,18940,RPCS3,通用软件项目,true
rizinorg/cutter,https://github.com/rizinorg/cutter,C++,18936,rizinorg,通用软件项目,true
id-Software/DOOM,https://github.com/id-Software/DOOM,C++,18909,id-Software,通用软件项目,true
uNetworking/uWebSockets,https://github.com/uNetworking/uWebSockets,C++,18885,uNetworking,网站后端,true
swoole/swoole-src,https://github.com/swoole/swoole-src,C++,18884,swoole,开发库/框架,true
react/yoga,https://github.com/react/yoga,C++,18774,react,网站前端,true
facebook/hhvm,https://github.com/facebook/hhvm,C++,18630,facebook,通用软件项目,true
Tencent/MMKV,https://github.com/Tencent/MMKV,C++,18618,Tencent,开发库/框架,true
alibaba/weex,https://github.com/alibaba/weex,C++,18530,alibaba,网站前端,true
wled/WLED,https://github.com/wled/WLED,C++,18201,wled,通用软件项目,true
google/libphonenumber,https://github.com/google/libphonenumber,C++,18074,google,开发库/框架,true
haoel/leetcode,https://github.com/haoel/leetcode,C++,18057,haoel,通用软件项目,true
pybind/pybind11,https://github.com/pybind/pybind11,C++,17904,pybind,通用软件项目,true
Tencent/mars,https://github.com/Tencent/mars,C++,17638,Tencent,通用软件项目,true
upx/upx,https://github.com/upx/upx,C++,17580,upx,通用软件项目,true
moonlight-stream/moonlight-qt,https://github.com/moonlight-stream/moonlight-qt,C++,17509,moonlight-stream,通用软件项目,true
MarlinFirmware/Marlin,https://github.com/MarlinFirmware/Marlin,C++,17431,MarlinFirmware,通用软件项目,true
abseil/abseil-cpp,https://github.com/abseil/abseil-cpp,C++,17323,abseil,通用软件项目,true
doitsujin/dxvk,https://github.com/doitsujin/dxvk,C++,17287,doitsujin,通用软件项目,true
microsoft/react-native-windows,https://github.com/microsoft/react-native-windows,C++,17286,microsoft,网站前端,true
imputnet/helium,https://github.com/imputnet/helium,C++,17226,imputnet,通用软件项目,true
ZLMediaKit/ZLMediaKit,https://github.com/ZLMediaKit/ZLMediaKit,C++,17150,ZLMediaKit,网站后端,true
audacity/audacity,https://github.com/audacity/audacity,C++,17128,audacity,通用软件项目,true
NixOS/nix,https://github.com/NixOS/nix,C++,17060,NixOS,通用软件项目,true
Qv2ray/Qv2ray,https://github.com/Qv2ray/Qv2ray,C++,16948,Qv2ray,通用软件项目,true
